name,kind,return_type,storage,params,file,line,signature
BerEncoder_encodeLength,declaration,bufPos =,,"parameterSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,370,"bufPos = BerEncoder_encodeLength(parameterSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"parameterSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,404,"bufPos = BerEncoder_encodeLength(parameterSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"parameterSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,436,"bufPos = BerEncoder_encodeLength(parameterSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"journalReadSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,532,"bufPos = BerEncoder_encodeLength(journalReadSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"journalReadSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,599,"bufPos = BerEncoder_encodeLength(journalReadSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"elementsSize, buffer, bufPos",mms/iso_mms/server/mms_access_result.c,26,"bufPos = BerEncoder_encodeLength(elementsSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"componentsSize, buffer, bufPos",mms/iso_mms/server/mms_access_result.c,59,"bufPos = BerEncoder_encodeLength(componentsSize, buffer, bufPos)"
BerEncoder_encodeLength,declaration,bufPos =,,"listOfEntriesLen + moreFollowsLen, buffer, bufPos",mms/iso_mms/server/mms_journal_service.c,546,"bufPos = BerEncoder_encodeLength(listOfEntriesLen + moreFollowsLen, buffer, bufPos)"
BerEncoder_encodeOIDToBuffer,declaration,LIB61850_INTERNAL int,,"const char* oidString, uint8_t* buffer, int maxBufLen",mms/inc_private/ber_encoder.h,60,"LIB61850_INTERNAL int BerEncoder_encodeOIDToBuffer(const char* oidString, uint8_t* buffer, int maxBufLen)"
BerEncoder_encodeOIDToBuffer,declaration,self->remoteApTitleLen =,,"apTitle, self->remoteApTitle, 10",mms/iso_common/iso_connection_parameters.c,171,"self->remoteApTitleLen = BerEncoder_encodeOIDToBuffer(apTitle, self->remoteApTitle, 10)"
BerEncoder_encodeOIDToBuffer,declaration,self->localApTitleLen =,,"apTitle, self->localApTitle, 10",mms/iso_common/iso_connection_parameters.c,191,"self->localApTitleLen = BerEncoder_encodeOIDToBuffer(apTitle, self->localApTitle, 10)"
BerEncoder_encodeOIDToBuffer,definition,int,,"const char* oidString, uint8_t* buffer, int maxBufLen",mms/asn1/ber_encoder.c,414,"int BerEncoder_encodeOIDToBuffer(const char* oidString, uint8_t* buffer, int maxBufLen)"
BerEncoder_encodeOctetString,declaration,LIB61850_INTERNAL int,,"uint8_t tag, uint8_t* octetString, uint32_t octetStringSize, uint8_t* buffer, int bufPos",mms/inc_private/ber_encoder.h,21,"LIB61850_INTERNAL int BerEncoder_encodeOctetString(uint8_t tag, uint8_t* octetString, uint32_t octetStringSize, uint8_t* buffer, int bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x19, (uint8_t*) fileName, fileNameStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,258,"bufPos = BerEncoder_encodeOctetString(0x19, (uint8_t*) fileName, fileNameStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x19, (uint8_t*) fileName, fileNameStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,289,"bufPos = BerEncoder_encodeOctetString(0x19, (uint8_t*) fileName, fileNameStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x49, frsmIdBer.octets, frsmIdBer.size, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,320,"bufPos = BerEncoder_encodeOctetString(0x49, frsmIdBer.octets, frsmIdBer.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x19, (uint8_t*) fileSpecification, fileNameStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,334,"bufPos = BerEncoder_encodeOctetString(0x19, (uint8_t*) fileSpecification, fileNameStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x4a, frsmIdBer.octets, frsmIdBer.size, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,814,"bufPos = BerEncoder_encodeOctetString(0x4a, frsmIdBer.octets, frsmIdBer.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x1a, (uint8_t*) domainId, domainIdStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,539,"bufPos = BerEncoder_encodeOctetString(0x1a, (uint8_t*) domainId, domainIdStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x1a, (uint8_t*) itemId, itemIdStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,541,"bufPos = BerEncoder_encodeOctetString(0x1a, (uint8_t*) itemId, itemIdStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x80, startingTime->value.binaryTime.buf, startingTime->value.binaryTime.size, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,545,"bufPos = BerEncoder_encodeOctetString(0x80, startingTime->value.binaryTime.buf, startingTime->value.binaryTime.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x80, endingTime->value.binaryTime.buf, endingTime->value.binaryTime.size, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,550,"bufPos = BerEncoder_encodeOctetString(0x80, endingTime->value.binaryTime.buf, endingTime->value.binaryTime.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x1a, (uint8_t*) domainId, domainIdStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,606,"bufPos = BerEncoder_encodeOctetString(0x1a, (uint8_t*) domainId, domainIdStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x1a, (uint8_t*) itemId, itemIdStringSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,608,"bufPos = BerEncoder_encodeOctetString(0x1a, (uint8_t*) itemId, itemIdStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x80, timeSpecification->value.binaryTime.buf, timeSpecification->value.binaryTime.size, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,612,"bufPos = BerEncoder_encodeOctetString(0x80, timeSpecification->value.binaryTime.buf, timeSpecification->value.binaryTime.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x81, entrySpecification->value.octetString.buf, entrySpecification->value.octetString.size, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,616,"bufPos = BerEncoder_encodeOctetString(0x81, entrySpecification->value.octetString.buf, entrySpecification->value.octetString.size, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x81, (uint8_t*) gtString, gtStringSize, buffer, bufPos",mms/iso_mms/server/mms_file_service.c,97,"bufPos = BerEncoder_encodeOctetString(0x81, (uint8_t*) gtString, gtStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x19, (uint8_t*) fileSpecification, fileNameStringSize, buffer, bufPos",mms/iso_mms/server/mms_file_service.c,922,"bufPos = BerEncoder_encodeOctetString(0x19, (uint8_t*) fileSpecification, fileNameStringSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x80, (uint8_t*) dataRef, dataRefStrLen, buffer, bufPos",mms/iso_mms/server/mms_journal_service.c,102,"bufPos = BerEncoder_encodeOctetString(0x80, (uint8_t*) dataRef, dataRefStrLen, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0xa1, data, dataSize, buffer, bufPos",mms/iso_mms/server/mms_journal_service.c,105,"bufPos = BerEncoder_encodeOctetString(0xa1, data, dataSize, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,bufPos =,,"0x80, (uint8_t*) REASON_CODE_STR, 10, buffer, bufPos",mms/iso_mms/server/mms_journal_service.c,112,"bufPos = BerEncoder_encodeOctetString(0x80, (uint8_t*) REASON_CODE_STR, 10, buffer, bufPos)"
BerEncoder_encodeOctetString,declaration,headerBufPos =,,"0x80, (uint8_t*) &(encoder->currentEntryId), 8, buffer, headerBufPos",mms/iso_mms/server/mms_journal_service.c,139,"headerBufPos = BerEncoder_encodeOctetString(0x80, (uint8_t*) &(encoder->currentEntryId), 8, buffer, headerBufPos)"
BerEncoder_encodeOctetString,declaration,headerBufPos =,,"0x80, occurenceTime.value.binaryTime.buf, 6, buffer, headerBufPos",mms/iso_mms/server/mms_journal_service.c,151,"headerBufPos = BerEncoder_encodeOctetString(0x80, occurenceTime.value.binaryTime.buf, 6, buffer, headerBufPos)"
BerEncoder_encodeOctetString,definition,int,,"uint8_t tag, uint8_t* octetString, uint32_t octetStringSize, uint8_t* buffer, int bufPos",mms/asn1/ber_encoder.c,97,"int BerEncoder_encodeOctetString(uint8_t tag, uint8_t* octetString, uint32_t octetStringSize, uint8_t* buffer, int bufPos)"
BerEncoder_encodeStringWithTag,declaration,LIB61850_INTERNAL int,,"uint8_t tag, const char* string, uint8_t* buffer, int bufPos",mms/inc_private/ber_encoder.h,18,"LIB61850_INTERNAL int BerEncoder_encodeStringWithTag(uint8_t tag, const char* string, uint8_t* buffer, int bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x1a, (char*) element->data, buffer, bufPos",mms/iso_mms/server/mms_get_namelist_service.c,472,"bufPos = BerEncoder_encodeStringWithTag(0x1a, (char*) element->data, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x80, MmsServer_getVendorName(mmsServer), buffer, bufPos",mms/iso_mms/server/mms_identify_service.c,39,"bufPos = BerEncoder_encodeStringWithTag(0x80, MmsServer_getVendorName(mmsServer), buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x81, MmsServer_getModelName(mmsServer), buffer, bufPos",mms/iso_mms/server/mms_identify_service.c,40,"bufPos = BerEncoder_encodeStringWithTag(0x81, MmsServer_getModelName(mmsServer), buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x82, MmsServer_getRevision(mmsServer), buffer, bufPos",mms/iso_mms/server/mms_identify_service.c,41,"bufPos = BerEncoder_encodeStringWithTag(0x82, MmsServer_getRevision(mmsServer), buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x80, itemId, buffer, bufPos",mms/iso_mms/server/mms_information_report.c,59,"bufPos = BerEncoder_encodeStringWithTag(0x80, itemId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x1a, spec->domainId, buffer, bufPos",mms/iso_mms/server/mms_information_report.c,182,"bufPos = BerEncoder_encodeStringWithTag(0x1a, spec->domainId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x1a, spec->itemId, buffer, bufPos",mms/iso_mms/server/mms_information_report.c,183,"bufPos = BerEncoder_encodeStringWithTag(0x1a, spec->itemId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x80, spec->itemId, buffer, bufPos",mms/iso_mms/server/mms_information_report.c,190,"bufPos = BerEncoder_encodeStringWithTag(0x80, spec->itemId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x80, itemId, buffer, bufPos",mms/iso_mms/server/mms_information_report.c,289,"bufPos = BerEncoder_encodeStringWithTag(0x80, itemId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,declaration,bufPos =,,"0x1a, accessSpec->itemId, buffer, bufPos",mms/iso_mms/server/mms_read_service.c,402,"bufPos = BerEncoder_encodeStringWithTag(0x1a, accessSpec->itemId, buffer, bufPos)"
BerEncoder_encodeStringWithTag,definition,int,,"uint8_t tag, const char* string, uint8_t* buffer, int bufPos",mms/asn1/ber_encoder.c,58,"int BerEncoder_encodeStringWithTag(uint8_t tag, const char* string, uint8_t* buffer, int bufPos)"
BerEncoder_encodeTL,declaration,LIB61850_INTERNAL int,,"uint8_t tag, uint32_t length, uint8_t* buffer, int bufPos",mms/inc_private/ber_encoder.h,12,"LIB61850_INTERNAL int BerEncoder_encodeTL(uint8_t tag, uint32_t length, uint8_t* buffer, int bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x61, contentLength, buffer, bufPos",mms/iso_acse/acse.c,566,"bufPos = BerEncoder_encodeTL(0x61, contentLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, 7, buffer, bufPos",mms/iso_acse/acse.c,568,"bufPos = BerEncoder_encodeTL(0xa1, 7, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x06, 5, buffer, bufPos",mms/iso_acse/acse.c,571,"bufPos = BerEncoder_encodeTL(0x06, 5, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa2, 3, buffer, bufPos",mms/iso_acse/acse.c,574,"bufPos = BerEncoder_encodeTL(0xa2, 3, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, 1, buffer, bufPos",mms/iso_acse/acse.c,577,"bufPos = BerEncoder_encodeTL(0x02, 1, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa3, 5, buffer, bufPos",mms/iso_acse/acse.c,579,"bufPos = BerEncoder_encodeTL(0xa3, 5, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, 3, buffer, bufPos",mms/iso_acse/acse.c,582,"bufPos = BerEncoder_encodeTL(0xa1, 3, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, 1, buffer, bufPos",mms/iso_acse/acse.c,583,"bufPos = BerEncoder_encodeTL(0x02, 1, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xbe, userInfoLength, buffer, bufPos",mms/iso_acse/acse.c,585,"bufPos = BerEncoder_encodeTL(0xbe, userInfoLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x28, assocDataLength, buffer, bufPos",mms/iso_acse/acse.c,588,"bufPos = BerEncoder_encodeTL(0x28, assocDataLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, nextRefLength, buffer, bufPos",mms/iso_acse/acse.c,591,"bufPos = BerEncoder_encodeTL(0x02, nextRefLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, payloadLength, buffer, bufPos",mms/iso_acse/acse.c,595,"bufPos = BerEncoder_encodeTL(0xa0, payloadLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x60, contentLength, buffer, bufPos",mms/iso_acse/acse.c,712,"bufPos = BerEncoder_encodeTL(0x60, contentLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, 7, buffer, bufPos",mms/iso_acse/acse.c,714,"bufPos = BerEncoder_encodeTL(0xa1, 7, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x06, 5, buffer, bufPos",mms/iso_acse/acse.c,717,"bufPos = BerEncoder_encodeTL(0x06, 5, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa2, isoParameters->remoteApTitleLen + 2, buffer, bufPos",mms/iso_acse/acse.c,723,"bufPos = BerEncoder_encodeTL(0xa2, isoParameters->remoteApTitleLen + 2, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x06, isoParameters->remoteApTitleLen, buffer, bufPos",mms/iso_acse/acse.c,726,"bufPos = BerEncoder_encodeTL(0x06, isoParameters->remoteApTitleLen, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa3, calledAEQualifierLength + 2, buffer, bufPos",mms/iso_acse/acse.c,732,"bufPos = BerEncoder_encodeTL(0xa3, calledAEQualifierLength + 2, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, calledAEQualifierLength, buffer, bufPos",mms/iso_acse/acse.c,736,"bufPos = BerEncoder_encodeTL(0x02, calledAEQualifierLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa6, isoParameters->localApTitleLen + 2, buffer, bufPos",mms/iso_acse/acse.c,744,"bufPos = BerEncoder_encodeTL(0xa6, isoParameters->localApTitleLen + 2, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x06, isoParameters->localApTitleLen, buffer, bufPos",mms/iso_acse/acse.c,747,"bufPos = BerEncoder_encodeTL(0x06, isoParameters->localApTitleLen, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa7, callingAEQualifierLength + 2, buffer, bufPos",mms/iso_acse/acse.c,752,"bufPos = BerEncoder_encodeTL(0xa7, callingAEQualifierLength + 2, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, callingAEQualifierLength, buffer, bufPos",mms/iso_acse/acse.c,756,"bufPos = BerEncoder_encodeTL(0x02, callingAEQualifierLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x8a, 2, buffer, bufPos",mms/iso_acse/acse.c,764,"bufPos = BerEncoder_encodeTL(0x8a, 2, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x8b, 3, buffer, bufPos",mms/iso_acse/acse.c,771,"bufPos = BerEncoder_encodeTL(0x8b, 3, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xac, authValueStringLength + passwordLength + 1, buffer, bufPos",mms/iso_acse/acse.c,775,"bufPos = BerEncoder_encodeTL(0xac, authValueStringLength + passwordLength + 1, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x80, passwordLength, buffer, bufPos",mms/iso_acse/acse.c,779,"bufPos = BerEncoder_encodeTL(0x80, passwordLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xbe, userInfoLen, buffer, bufPos",mms/iso_acse/acse.c,789,"bufPos = BerEncoder_encodeTL(0xbe, userInfoLen, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x28, assocDataLength, buffer, bufPos",mms/iso_acse/acse.c,792,"bufPos = BerEncoder_encodeTL(0x28, assocDataLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, 1, buffer, bufPos",mms/iso_acse/acse.c,795,"bufPos = BerEncoder_encodeTL(0x02, 1, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, payloadLength, buffer, bufPos",mms/iso_acse/acse.c,799,"bufPos = BerEncoder_encodeTL(0xa0, payloadLength, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,247,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,249,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, fileNameSeqSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,256,"bufPos = BerEncoder_encodeTL(0xa0, fileNameSeqSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,279,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,281,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,313,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,315,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"tag, fileNameSeqSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,332,"bufPos = BerEncoder_encodeTL(tag, fileNameSeqSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,362,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,364,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,396,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,398,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,428,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,430,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,807,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_files.c,809,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_identify.c,20,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_identify.c,22,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x82, 0, buffer, bufPos",mms/iso_mms/client/mms_client_identify.c,24,"bufPos = BerEncoder_encodeTL(0x82, 0, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa8, initiateRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,46,"bufPos = BerEncoder_encodeTL(0xa8, initiateRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x80, localDetailSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,48,"bufPos = BerEncoder_encodeTL(0x80, localDetailSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x81, proposedMaxServerOutstandingCallingSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,52,"bufPos = BerEncoder_encodeTL(0x81, proposedMaxServerOutstandingCallingSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x82, proposedMaxServerOutstandingCalledSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,56,"bufPos = BerEncoder_encodeTL(0x82, proposedMaxServerOutstandingCalledSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x83, dataStructureNestingLevelSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,60,"bufPos = BerEncoder_encodeTL(0x83, dataStructureNestingLevelSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa4, initRequestDetailSize, buffer, bufPos",mms/iso_mms/client/mms_client_initiate.c,64,"bufPos = BerEncoder_encodeTL(0xa4, initRequestDetailSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,524,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,526,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, journalNameSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,534,"bufPos = BerEncoder_encodeTL(0xa0, journalNameSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, objectIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,537,"bufPos = BerEncoder_encodeTL(0xa1, objectIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, startingTimeSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,542,"bufPos = BerEncoder_encodeTL(0xa1, startingTimeSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa2, endingTimeSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,547,"bufPos = BerEncoder_encodeTL(0xa2, endingTimeSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,591,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,593,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, journalNameSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,601,"bufPos = BerEncoder_encodeTL(0xa0, journalNameSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa1, objectIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,604,"bufPos = BerEncoder_encodeTL(0xa1, objectIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa5, entryToStartAfterContentSize, buffer, bufPos",mms/iso_mms/client/mms_client_journals.c,609,"bufPos = BerEncoder_encodeTL(0xa5, entryToStartAfterContentSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0xa0, confirmedRequestPduSize, buffer, bufPos",mms/iso_mms/client/mms_client_status.c,20,"bufPos = BerEncoder_encodeTL(0xa0, confirmedRequestPduSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x02, invokeIdSize, buffer, bufPos",mms/iso_mms/client/mms_client_status.c,22,"bufPos = BerEncoder_encodeTL(0x02, invokeIdSize, buffer, bufPos)"
BerEncoder_encodeTL,declaration,bufPos =,,"0x80, length, buffer, bufPos",mms/iso_mms/server/mms_access_result.c,526,"bufPos = BerEncoder_encodeTL(0x80, length, buffer, bufPos)"
